generation,treatment,line,nymph,alive,dead,%dead,%alive
6,Wasp,32,165,96,69,42,58
6,Relaxed wasp,32,147,68,79,54,46
6,Relaxed control,32,136,136,0,0,100
6,Control,33,171,171,0,0,100
6,Control wasp,33,133,47,86,65,35
6,Wasp,34,172,92,80,47,53
6,Relaxed wasp,34,122,32,90,74,26
6,Relaxed control,34,141,141,0,0,100
6,Wasp,35,188,108,80,43,57
6,Relaxed wasp,35,166,86,80,48,52
6,Relaxed control,35,122,121,1,1,99
6,Control,36,168,166,2,1,99
6,Control wasp,36,161,61,100,62,38
6,Control,37,147,147,0,0,100
6,Control wasp,37,147,61,86,59,41
6,Wasp,38,122,63,52,43,52
6,Relaxed wasp,38,147,82,65,44,56
6,Relaxed control,38,161,158,3,2,98
6,Wasp,39,117,63,54,46,54
6,Relaxed wasp,39,119,61,58,49,51
6,Relaxed control,39,114,114,0,0,100
6,Control,40,122,122,0,0,100
6,Control wasp,40,188,100,88,47,53
